feature,importance,exercise
left_eye_outer_var_x,0.03960978565968072,E3
right_eye_outer_var_x,0.039568269352266705,E3
right_elbow_var_y,0.039061513978836865,E3
right_eye_var_x,0.038830523145283055,E3
left_foot_index_var_x,0.03882860645408575,E3
right_ankle_mean_x,0.038825376765107465,E3
left_elbow_var_y,0.038665343903655267,E3
left_pinky_var_x,0.03801624818123841,E3
right_ear_mean_x,0.03740020869120777,E3
left_index_var_y,0.03392828071508883,E3
left_ankle_mean_y,0.033686421440776514,E3
left_pinky_mean_y,0.03212855371507361,E3
right_eye_inner_var_x,0.03161323645595096,E3
left_thumb_var_y,0.03058971521047619,E3
left_thumb_var_x,0.02955778619173744,E3
left_wrist_var_y,0.028871696049179815,E3
right_ear_mean_y,0.02860810125066612,E3
left_pinky_var_y,0.02765583496671481,E3
right_knee_var_x,0.027203472621709295,E3
left_heel_var_y,0.026503490398883355,E3
left_foot_index_mean_x,0.025678510934283996,E3
left_ankle_var_y,0.02517934460050352,E3
right_heel_var_y,0.024923828599402714,E3
left_ear_mean_y,0.024710543667247446,E3
left_elbow_mean_y,0.024466584288031924,E3
left_wrist_mean_y,0.024465962575890128,E3
left_heel_mean_y,0.0243551174671037,E3
right_index_var_y,0.024203460953748222,E3
right_elbow_mean_y,0.02343654602326781,E3
right_ankle_var_y,0.023257385836770512,E3
left_index_mean_y,0.022437780297121578,E3
right_pinky_var_y,0.022268076576341674,E3
left_index_var_x,0.020105025845787713,E3
left_thumb_mean_y,0.020080233764637006,E3
left_knee_var_x,0.01942239453816621,E3
right_ankle_var_x,0.019329516651233256,E3
right_shoulder_mean_y,0.019197958627076003,E3
mouth_left_var_y,0.018315389737659105,E3
right_thumb_var_x,0.017156310173558793,E3
mouth_right_var_y,0.016161516574605923,E3
right_thumb_var_y,0.015716028284870474,E3
right_eye_inner_var_y,0.013847820863957585,E3
left_ear_var_x,0.013831298945650702,E3
right_hip_var_y,0.01304248261246626,E3
nose_var_y,0.012843354577412936,E3
left_eye_inner_mean_y,0.012339605546297296,E3
left_eye_mean_y,0.012335807338059897,E3
right_wrist_var_y,0.012094995992784727,E3
left_eye_outer_mean_y,0.011917411991473014,E3
mouth_right_mean_y,0.010600394185273535,E3
left_eye_var_y,0.009977573836957937,E3
nose_mean_y,0.009969720492023394,E3
right_thumb_mean_y,0.008773116474668389,E3
right_index_var_x,0.008114236887965044,E3
right_heel_var_x,0.008072378903195383,E3
right_eye_outer_var_y,0.007765411117686643,E3
right_index_mean_y,0.007747478422652456,E3
left_eye_outer_var_y,0.007230098203353467,E3
right_eye_var_y,0.005567400042553416,E3
right_wrist_mean_y,0.005204456813824141,E3
right_pinky_mean_y,0.004335285283940315,E3
right_eye_inner_mean_y,0.0024287952551336495,E3
right_shoulder_mean_x,0.0023725667783039,E3
right_eye_mean_y,0.002140817255189458,E3
right_eye_outer_mean_y,0.0017926289325715036,E3
mouth_left_mean_y,0.0010606283057924427,E3
left_eye_inner_var_y,0.00035006096434800175,E3
exercise_E1,0.0,E3
exercise_E2,0.0,E3
exercise_E3,0.0,E3
exercise_E4,0.0,E3
exercise_E5,0.0,E3
left_foot_index_var_x,0.5040733910155155,E4
left_knee_mean_x,0.46961238353412027,E4
right_elbow_mean_x,0.40906702808521966,E4
right_heel_mean_y,0.36009253288606685,E4
left_foot_index_var_y,0.33092528720001685,E4
right_ankle_mean_y,0.3276046376513089,E4
left_knee_var_y,0.2972123517432207,E4
right_index_var_x,0.2912831748704786,E4
right_hip_mean_y,0.2865326140664359,E4
right_knee_mean_x,0.25049186495484876,E4
left_index_mean_x,0.23751027585951318,E4
right_heel_var_y,0.23591597526677177,E4
left_hip_mean_y,0.23471142679659282,E4
left_index_mean_y,0.22207214630242494,E4
left_pinky_var_x,0.21817311612014467,E4
left_elbow_mean_x,0.2147155599023725,E4
right_ankle_var_y,0.2070697991536227,E4
left_heel_var_y,0.20550244173682275,E4
